web-scraper-order,web-scraper-start-url,modelo,pvp,kms,cm3,provincia,anyo
"1527110176-218","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG GV 650i AQUILA 30 Aniversario","1.700 €","59.000 km","647 cc","Barcelona","2007"
"1527110192-389","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO Venox 250","1.500 €","16.200 km","249 cc","Córdoba","2004"
"1527110198-437","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 250","1.690 €","41.550 km","249 cc","Madrid","2007"
"1527110163-79","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","PEUGEOT Citystar 50 2T","1.950 €","11.137 km","49 cc","Pontevedra","2016"
"1527110158-28","https://motos.coches.net/ocasion/?pg=19&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KEEWAY Zahara 125","1.699 €","N/D km","124 cc","Madrid","2017"
"1527110158-26","https://motos.coches.net/ocasion/?pg=19&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KEEWAY RKS 125","1.799 €","N/D km","124 cc","Madrid","2018"
"1527110190-360","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","APRILIA Compay 125","1.000 €","26.250 km","124 cc","Valencia","2005"
"1527110178-255","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KAWASAKI Eliminator BN 125","1.299 €","12.000 km","124 cc","Ciudad Real","2005"
"1527110171-179","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM Daystar 125","800 €","7.367 km","125 cc","Segovia","2005"
"1527110176-213","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR","1.400 €","3.030 km","125 cc","Barcelona","2016"
"1527110181-270","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Cygnus X","700 €","32.200 km","124 cc","Madrid","2006"
"1527110200-477","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA VTR 250","2.000 €","46.000 km","250 cc","Barcelona","2000"
"1527110161-52","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CBF 250","1.490 €","30.144 km","249 cc","Cáceres","2006"
"1527110173-197","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DUCATI Indiana 350","1.500 €","30.000 km","350 cc","Castellón","1988"
"1527110158-34","https://motos.coches.net/ocasion/?pg=19&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM Daystar 125","1.299 €","22.236 km","125 cc","Madrid","2007"
"1527110166-129","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","MXONDA C5 125","1.099 €","5.992 km","124 cc","Madrid","2017"
"1527110195-403","https://motos.coches.net/ocasion/?pg=5&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA PANTHEON 125","999 €","32.000 km","125 cc","Castellón","2007"
"1527110192-387","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA DYLAN 125","1.299 €","20.469 km","125 cc","Barcelona","2003"
"1527110187-333","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","APRILIA Compay 125 Custom","1.599 €","5.602 km","124 cc","Valencia","2008"
"1527110203-508","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CBF 250","1.100 €","36.400 km","249 cc","Madrid","2005"
"1527110190-361","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA Lead 110","950 €","32.000 km","108 cc","Cádiz","2009"
"1527110198-451","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG GT 250R","1.600 €","21.000 km","249 cc","Zaragoza","2006"
